[An Acquaintance with Literary Forms Devices] - Part-10 || An Acquaintance with Literary Forms Devices || 17-April : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/567192815176717200_PDF.pdf
[An Acquaintance with Literary Forms Devices] - Part-11 || An Acquaintance with Literary Forms Devices || 18-April : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/512335392909029200_PDF.pdf
[Macbeth] - Part-1 || Macbeth || 19-April : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/73012381379488200_PDF.pdf
[Macbeth] - Part-2 || Macbeth || 21-April : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/605847504462023300_PDF.pdf
[Macbeth] - Part-3 || Macbeth || 22-April : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/842600650974479900_PDF.pdf
[Macbeth] - Part-4 || Macbeth || 23-April : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/622160349394038100_PDF.pdf
[Macbeth] - Part-5 || Macbeth || 24-April : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/780599267021778400_PDF.pdf
[Macbeth] - Part-6 || Macbeth || 25-April : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/23441675218229020_PDF.pdf
[Macbeth] - Part-7 || Macbeth || 26-April : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/597524498779279200_PDF.pdf
[As You Like It] - Part-1 || As You Like It || 28-April : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/416335077187681900_PDF.pdf
[As You Like It] - Part-2 || As You Like It || 29-April : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/740980075005584000_PDF.pdf
[As You Like It] - Part-3 || As You Like It || 30-April : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/345569078755428700_PDF.pdf
[As You Like It] - Part-4 || As You Like It || 01-May : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/14922731849444182_PDF.pdf
[As You Like It] - Part-5 || As You Like It || 06-May : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/294933687908396350_PDF.pdf
