[पाठ्यक्रम परिचर्चा] - Part-1 || पाठ्यक्रम परिचर्चा || 22-May : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/9cZnq42EufK/video.m3u8
[बहुपद ] - Part-6 || बहुपद || 20-May : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/9FxJ4FBDNrK/video.m3u8
[बहुपद ] - Part-7 || बहुपद || 20-May : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/BMsr72U9RSx/video.m3u8
[बहुपद ] - Part-8 || बहुपद || 21-May : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/gdZXQUCMmjx/video.m3u8
[बहुपद ] - Part-9 || बहुपद || 21-May : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/69QgesAuEAs/video.m3u8
[सांख्यिकी] - Part-1 || सांख्यिकी || 22-May : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/3ENnezjh925/video.m3u8
[सांख्यिकी] - Part-2 || सांख्यिकी || 22-May : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/RyhxZuRDp9x/video.m3u8
[सांख्यिकी] - Part-3 || सांख्यिकी || 23-May : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/9sN47muTs4f/video.m3u8
[संविधान सभा (Constituent Assembly)] - Part-1 || संविधान सभा || 02-April : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/45Ur9a2BBus/video.m3u8
[संविधान सभा (Constituent Assembly)] - Part-2 || संविधान सभा || 03-April : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/BxCZHU6SDKy/video.m3u8
[संविधान सभा (Constituent Assembly)] - Part-3 || संविधान सभा || 05-April : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/32Fg34GEfKU/video.m3u8
[संविधान सभा (Constituent Assembly)] - Part-4 || संविधान सभा || 07-April : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/9aupab2cAHY/video.m3u8
[संविधान सभा (Constituent Assembly)] - Part-5 || संविधान सभा || 08-April : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/BE3P2ABNqNm/video.m3u8
[संविधान सभा (Constituent Assembly)] - Part-6 || संविधान सभा || 11-April : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/AMpjBt3FzUn/video.m3u8
[राष्ट्रपति] - Part-1 || राष्ट्रपति || 12-April : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/5CZZjAUh6jc/video.m3u8
[राष्ट्रपति] - Part-2 || राष्ट्रपति || 15-April : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/4UMDC7Zs2Su/video.m3u8
[राष्ट्रपति] - Part-3 || राष्ट्रपति || 16-April : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/APX9ZyT5MY4/video.m3u8
[राष्ट्रपति] - Part-4 || राष्ट्रपति || 17-April : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/k2sbJDfdFsN/video.m3u8
[प्रधानमंत्री एवं मंत्रीपरिषद] - Part-1 || प्रधानमंत्री और मंत्रिपरिषद|| 18-April : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/Aay3P8pBb3Z/video.m3u8
[प्रधानमंत्री एवं मंत्रीपरिषद] - Part-2 || प्रधानमंत्री और मंत्रिपरिषद|| 21-April : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/7z3rb6qrY67/video.m3u8
[प्रधानमंत्री एवं मंत्रीपरिषद] - Part-3 || प्रधानमंत्री और मंत्रिपरिषद|| 25-April : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/8kzrdmkPBgG/video.m3u8
[संसद] - Part-1 || संसद|| 26-April : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/6aGTEFRkd8y/video.m3u8
[संसद] - Part-2 || संसद|| 28-April : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/4YhEsqrZ6p3/video.m3u8
[संसद] - Part-3 || संसद|| 29-April : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/635ZQk9ybpN/video.m3u8
[संसद] - Part-4 || संसद|| 30-April : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/BKd7PYHYXfm/video.m3u8
[सर्वोच्च न्यायालय] - Part-1 || सर्वोच्च न्यायालय || 01-May : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/4CxFjU5z588/video.m3u8
[प्रमुख आयोग] - Part-1 || प्रमुख आयोग || 02-May : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/BzTnrdc8Y6p/video.m3u8
[नियंत्रण एवं समन्वय] - Part-1 || नियंत्रण एवं समन्वय || 14-May : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/C6x2FFmufrP/video.m3u8
[नियंत्रण एवं समन्वय] - Part-2 || नियंत्रण एवं समन्वय || 15-May : https://apps-s3-media.utkarshapp.com/file_library/videos/harvesting/2566198/utk-9/1747308530/index.m3u8
[नियंत्रण एवं समन्वय] - Part-3 || नियंत्रण एवं समन्वय || 16-May : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/qUAP9YFdTrK/video.m3u8
[नियंत्रण एवं समन्वय] - Part-4 || नियंत्रण एवं समन्वय || 17-May : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/AZPKqdGGgZU/video.m3u8
[नियंत्रण एवं समन्वय] - Part-5 || नियंत्रण एवं समन्वय || 19-May : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/8u7967898rG/video.m3u8
[नियंत्रण एवं समन्वय] - Part-6 || नियंत्रण एवं समन्वय || 20-May : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/64rqfA2JXpC/video.m3u8
[आनुवंशिकी] - Part-1 || आनुवंशिकी || 21-May : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/8Yyz73T7HYu/video.m3u8
[आनुवंशिकी] - Part-2 || आनुवंशिकी || 22-May : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/Bsu34UM5m7T/video.m3u8
[आनुवंशिकी] - Part-3 || आनुवंशिकी || 23-May : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/5C3pkr3zYtP/video.m3u8
[वर्णमाला परीक्षण (Alphabet Test)] - Part-1 || वर्णमाला परीक्षण || 04-April : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/87hqaaEGMg9/video.m3u8
[वर्णमाला परीक्षण (Alphabet Test)] - Part-2 || वर्णमाला परीक्षण || 05-April : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/C6QcANJsuGs/video.m3u8
[वर्णमाला परीक्षण (Alphabet Test)] - Part-3 || वर्णमाला परीक्षण || 07-April : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/B9PjrcxsRdU/video.m3u8
[कोडिंग डिकोडिंग (Coding Decoding)] - Part-1 || Coding Decoding || 08-April : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/7sHaC5u5tXn/video.m3u8
[कोडिंग डिकोडिंग (Coding Decoding)] - Part-2 || Coding Decoding || 09-April : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/65KXqbn7Yhj/video.m3u8
[कोडिंग डिकोडिंग (Coding Decoding)] - Part-3 || Coding Decoding || 10-April : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/5ja7uxMbgyJ/video.m3u8
[कोडिंग डिकोडिंग (Coding Decoding)] - Part-4 || Coding Decoding || 11-April : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/8dYGYBuYMaT/video.m3u8
[कोडिंग डिकोडिंग (Coding Decoding)] - Part-5 || Coding Decoding || 12-April : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/5ATGrm4N8JJ/video.m3u8
[कोडिंग डिकोडिंग (Coding Decoding)] - Part-6 || Coding Decoding || 14-April : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/B6ckMdqMqcE/video.m3u8
[कोडिंग डिकोडिंग (Coding Decoding)] - Part-7 || Coding Decoding || 15-April : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/7TkjqHDJqHx/video.m3u8
[Analogy And Similarity] - Part-1 || Analogy and Similarity || 16-April : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/9pg4rJna2Bc/video.m3u8
[Analogy And Similarity] - Part-2 || Analogy and Similarity || 17-April : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/6Rrs3NPxBqZ/video.m3u8
[Analogy And Similarity] - Part-3 || Analogy and Similarity || 18-April : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/7PSgA69YSM2/video.m3u8
[संख्या श्रृंखला (Number Series)] - Part-1 || Number Series || 19-April : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/6ZdFCgzBYz4/video.m3u8
[संख्या श्रृंखला (Number Series)] - Part-2 || Number Series || 21-April : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/6jKq4SkaBUu/video.m3u8
[संख्या श्रृंखला (Number Series)] - Part-3 || Number Series || 22-April : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/7BTnm5j8M64/video.m3u8
[रक्त संबंध (Blood Relation)] - Part-1 || Blood Relation || 23-April : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/7fkJFeztsZC/video.m3u8
[रक्त संबंध (Blood Relation)] - Part-2 || Blood Relation || 24-April : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/3ZXPTf4KcHQ/video.m3u8
[रक्त संबंध (Blood Relation)] - Part-3 || Blood Relation || 25-April : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/eH6pQK4bYFQ/video.m3u8
[वेन आरेख (Venn Diagram)] - Part-1 || Venn Diagram || 28-April : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/ASrGBkjCKSu/video.m3u8
[वेन आरेख (Venn Diagram)] - Part-2 || Venn Diagram || 29-April : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/72pkJZdagXe/video.m3u8
[वेन आरेख (Venn Diagram)] - Part-3 || Venn Diagram || 30-April : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/BkDj56RYYdZ/video.m3u8
[वेन आरेख (Venn Diagram)] - Part-4 || Venn Diagram || 01-May : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/BMKZRpRUKA8/video.m3u8
[घन पासा] - Part-1 || घन पासा || 02-May : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/Bgqc4E9mUAB/video.m3u8
[घन पासा] - Part-2 || घन पासा || 03-May : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/AfzjaPZKkM7/video.m3u8
[घन पासा] - Part-3 || घन पासा || 05-May : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/9ehcJNqmhME/video.m3u8
[घन पासा] - Part-4 || घन पासा || 06-May : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/AHGzruQ5p6n/video.m3u8
[विविध (logical Airthmatic)] - Part-1 || logical airthmatic || 08-May : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/4mMCQkJyDsj/video.m3u8
[विविध (logical Airthmatic)] - Part-2 || logical airthmatic || 09-May : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/46pRmrbKYNc/video.m3u8
[विविध (logical Airthmatic)] - Part-3 || logical airthmatic || 13-May : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/7MJ45R9b98t/video.m3u8
[विविध (logical Airthmatic)] - Part-4 || logical airthmatic || 14-May : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/B9dsbaEMZ55/video.m3u8
[Mathamatical operation] - Part-1 || Mathamatical operation || 15-May : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/5YfAaJubmty/video.m3u8
[Mathamatical operation] - Part-2 || Mathamatical operation || 16-May : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/3HmfJNHQQdY/video.m3u8
[कैलेंडर (Calendar)] - Part-1 || Calendar || 17-May : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/BmKDzjYEBze/video.m3u8
[कैलेंडर (Calendar)] - Part-2 || Calendar || 20-May : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/BuqsnMTP6HH/video.m3u8
[कैलेंडर (Calendar)] - Part-3 || Calendar || 21-May : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/4jZuSGNs9GM/video.m3u8
[कैलेंडर (Calendar)] - Part-4 || Calendar || 22-May : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/7eCdnn7pmpz/video.m3u8
[पाठ्यक्रम परिचर्चा] - Part-1 || पाठ्यक्रम परिचर्चा || 04-April : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/B3TcdqdRSMb/video.m3u8
[शिक्षा मनोविज्ञान का परिचय] - Part-1 || शिक्षा मनोविज्ञान का परिचय || 05-April : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/73BT4gtKtJ9/video.m3u8
[शिक्षा मनोविज्ञान का परिचय] - Part-2 || शिक्षा मनोविज्ञान का परिचय || 06-April : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/6rMQQ2srCbP/video.m3u8
[शिक्षा मनोविज्ञान का परिचय] - Part-3 || शिक्षा मनोविज्ञान का परिचय || 06-April : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/3rtY22ASjXN/video.m3u8
[शिक्षा मनोविज्ञान का परिचय] - Part-4 || शिक्षा मनोविज्ञान का परिचय || 07-April : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/6cxmZRjKggk/video.m3u8
[शिक्षा मनोविज्ञान का परिचय] - Part-5 || शिक्षा मनोविज्ञान का परिचय || 16-April : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/9XBcEybBt88/video.m3u8
[शिक्षा मनोविज्ञान का परिचय] - Part-6 || शिक्षा मनोविज्ञान का परिचय || 17-April : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/6YfpmySJcBR/video.m3u8
[शिक्षा मनोविज्ञान का परिचय] - Part-7 || शिक्षा मनोविज्ञान का परिचय || 18-April : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/AcDMZBkMXtc/video.m3u8
