[पाठ्यक्रम परिचर्चा] - Part-1 || पाठ्यक्रम परिचर्चा || 22-May : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/9cZnq42EufK/video.m3u8
[कैलेंडर (Calendar)] - Part-1 || Calendar || 17-May : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/100898420485848980_PDF.pdf
[कैलेंडर (Calendar)] - Part-2 || Calendar || 20-May : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/868748249193998300_PDF.pdf
[कैलेंडर (Calendar)] - Part-3 || Calendar || 21-May : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/574764050180693800_PDF.pdf
[कैलेंडर (Calendar)] - Part-4 || Calendar || 22-May : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/792043541846028700_PDF.pdf
[पाठ्यक्रम परिचर्चा] - Part-1 || पाठ्यक्रम परिचर्चा || 04-April : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/49185126124454560_PDF.pdf
[शिक्षा मनोविज्ञान का परिचय] - Part-1 || शिक्षा मनोविज्ञान का परिचय || 05-April : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/865856564637723100_PDF.pdf
[शिक्षा मनोविज्ञान का परिचय] - Part-2 || शिक्षा मनोविज्ञान का परिचय || 06-April : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/826356304054167200_PDF.pdf
[शिक्षा मनोविज्ञान का परिचय] - Part-3 || शिक्षा मनोविज्ञान का परिचय || 06-April : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/236984475658952600_PDF.pdf
[शिक्षा मनोविज्ञान का परिचय] - Part-4 || शिक्षा मनोविज्ञान का परिचय || 07-April : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/665096818151012200_PDF.pdf
[शिक्षा मनोविज्ञान का परिचय] - Part-5 || शिक्षा मनोविज्ञान का परिचय || 16-April : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/477566294813298900_PDF.pdf
[शिक्षा मनोविज्ञान का परिचय] - Part-6 || शिक्षा मनोविज्ञान का परिचय || 17-April : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/825653321600747000_PDF.pdf
[शिक्षा मनोविज्ञान का परिचय] - Part-7 || शिक्षा मनोविज्ञान का परिचय || 18-April : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/499514909157119800_PDF.pdf
[शिक्षा मनोविज्ञान का परिचय] - Part-8 || शिक्षा मनोविज्ञान का परिचय || 19-April : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/277931925723734100_PDF.pdf
[शिक्षा मनोविज्ञान का परिचय] - Part-9 || शिक्षा मनोविज्ञान का परिचय || 21-April : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/786355960333922200_PDF.pdf
[अधिगम] - Part-1 || अधिगम || 22-April : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/721831287232046200_PDF.pdf
[अधिगम] - Part-2 || अधिगम || 23-April : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/457100931171562430_PDF.pdf
[अधिगम] - Part-3 || अधिगम || 24-April : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/838775106183113500_PDF.pdf
[अधिगम] - Part-4 || अधिगम || 25-April : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/839987179760932600_PDF.pdf
[अधिगम] - Part-5 || अधिगम || 26-April : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/95596994316210240_PDF.pdf
[अधिगम] - Part-6 || अधिगम || 27-April : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/634950125910332700_PDF.pdf
[अधिगम] - Part-7 || अधिगम || 27-April : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/345892025585223940_PDF.pdf
[अधिगम] - Part-8 || अधिगम || 28-April : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/371697489618420600_PDF.pdf
[अधिगम] - Part-9 || अधिगम || 29-April : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/580188730467744400_PDF.pdf
[अधिगम] - Part-10 || अधिगम || 30-April : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/360829539180084600_PDF.pdf
[अधिगम] - Part-11 || अधिगम || 01-May : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/260176189570133120_PDF.pdf
[अधिगम] - Part-12 || अधिगम || 02-May : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/572417099231088900_PDF.pdf
[अधिगम] - Part-13 || अधिगम || 03-May : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/799072200287204100_PDF.pdf
[अधिगम] - Part-14 || अधिगम || 08-May : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/12640818901857698_PDF.pdf
[अधिगम] - Part-15 || अधिगम || 09-May : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/209454811850653900_PDF.pdf
[विकास] - Part-1 || विकास || 16-May : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/223601792335779800_PDF.pdf
[विकास] - Part-2 || विकास || 17-May : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/547059514031704960_PDF.pdf
[विकास] - Part-3 || विकास || 18-May : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/530520315728208500_PDF.pdf
[विकास] - Part-4 || विकास || 19-May : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/145911627029654270_PDF.pdf
[विकास] - Part-5 || विकास || 20-May : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/863364690979684000_PDF.pdf
[विकास] - Part-6 || विकास || 21-May : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/598695660240505700_PDF.pdf
[विकास] - Part-7 || विकास || 22-May : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/14298550709674306_PDF.pdf
[विकास] - Part-8 || विकास || 23-May : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/18846320243293844_PDF.pdf
[पाठ्यक्रम परिचर्चा] - Part-1 || पाठ्यक्रम परिचर्चा  और प्राचीन सभ्यताएं || 24-March : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/244412780223582820_PDF.pdf
[कालीबंगा] - Part-1 || कालीबंगा || 25-March : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/578253169750514300_PDF.pdf
[कालीबंगा] - Part-2 || कालीबंगा || 26-March : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/158960450074600600_PDF.pdf
[कालीबंगा] - Part-3 || कालीबंगा || 29-March : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/477879850772227100_PDF.pdf
[चौहान वंश] - Part-1 || चौहान वंश || 30-March : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/32546343185973624_PDF.pdf
[चौहान वंश] - Part-2 || चौहान वंश || 01-April : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/852417362592406900_PDF.pdf
[चौहान वंश] - Part-3 || चौहान वंश || 02-April : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/215553565090435100_PDF.pdf
[चौहान वंश] - Part-4 || चौहान वंश || 03-April : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/98971316869378_PDF.pdf
[चौहान वंश] - Part-5 || चौहान वंश || 04-April : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/820610686211818500_PDF.pdf
[चौहान वंश] - Part-6 || चौहान वंश || 05-April : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/829312713851041400_PDF.pdf
[चौहान वंश] - Part-7 || चौहान वंश || 07-April : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/51444137102801600_PDF.pdf
[चौहान वंश] - Part-8 || चौहान वंश || 08-April : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/655479219355580900_PDF.pdf
[चौहान वंश] - Part-9 || चौहान वंश || 09-April : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/53111710850943130_PDF.pdf
[चौहान वंश] - Part-10 || चौहान वंश || 10-April : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/107632451097635820_PDF.pdf
[चौहान वंश] - Part-11 || चौहान वंश || 11-April : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/392937810494515650_PDF.pdf
[चौहान वंश] - Part-12 || चौहान वंश || 12-April : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/753402970445242900_PDF.pdf
[चौहान वंश] - Part-13 || चौहान वंश || 14-April : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/12162114238172760_PDF.pdf
[चौहान वंश] - Part-14 || चौहान वंश || 15-April : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/777261244415274100_PDF.pdf
[चौहान वंश] - Part-15 || चौहान वंश || 16-April : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/238698250114963940_PDF.pdf
[राठौड़ वंश] - Part-1 || राठौड़ वंश || 26-April : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/713893918734083800_PDF.pdf
[राठौड़ वंश] - Part-2 || राठौड़ वंश || 29-April : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/660215488154315100_PDF.pdf
[गुर्जर-प्रतिहार वंश] - Part-1 || गुर्जर प्रतिहार वंश || 30-April : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/181141194943048260_PDF.pdf
[गुर्जर-प्रतिहार वंश] - Part-2 || गुर्जर प्रतिहार वंश || 01-May : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/597589933949700200_PDF.pdf
[गुर्जर-प्रतिहार वंश] - Part-3 || गुर्जर प्रतिहार वंश || 02-May : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/225875500106982180_PDF.pdf
[राजस्थान का एकीकरण (1857 की क्रांति)] - Part-1 || राजस्थान का एकीकरण (1857 की क्रांति) || 03-May : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/293429046621586240_PDF.pdf
[राजस्थान का एकीकरण (1857 की क्रांति)] - Part-2 || राजस्थान का एकीकरण (1857 की क्रांति) || 06-May : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/470163421658148400_PDF.pdf
[राजस्थान का एकीकरण (1857 की क्रांति)] - Part-3 || राजस्थान का एकीकरण (1857 की क्रांति) || 07-May : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/754153458348002800_PDF.pdf
[राजस्थान का एकीकरण (1857 की क्रांति)] - Part-4 || राजस्थान का एकीकरण (1857 की क्रांति) || 08-May : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/831305359161008400_PDF.pdf
[राजस्थान का एकीकरण (1857 की क्रांति)] - Part-5 || राजस्थान का एकीकरण (1857 की क्रांति) || 09-May : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/500183328831554500_PDF.pdf
[राजस्थान का एकीकरण (1857 की क्रांति)] - Part-6 || राजस्थान का एकीकरण (1857 की क्रांति) || 16-May : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/212954880867427520_PDF.pdf
[राजस्थान का एकीकरण (1857 की क्रांति)] - Part-7 || राजस्थान का एकीकरण (1857 की क्रांति) || 19-May : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/3352301161215643_PDF.pdf
[राजस्थान का एकीकरण (1857 की क्रांति)] - Part-8 || राजस्थान का एकीकरण (1857 की क्रांति) || 20-May : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/91390002713557970_PDF.pdf
[राजस्थान का एकीकरण (1857 की क्रांति)] - Part-9 || राजस्थान का एकीकरण (1857 की क्रांति) || 21-May : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/620391665916960500_PDF.pdf
[राजस्थान का एकीकरण (1857 की क्रांति)] - Part-10 || राजस्थान का एकीकरण (1857 की क्रांति) || 22-May : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/109138237897139550_PDF.pdf
[Syllabus Discussion ] - Part-1 || Syllabus Discussion || 14-May : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/727833249030969700_PDF.pdf
[Tense] - Part-1 || Tense || 15-May : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/47433015007220160_PDF.pdf
[Tense] - Part-2 || Tense || 16-May : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/405357882105331460_PDF.pdf
[Tense] - Part-3 || Tense || 17-May : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/577495043358233900_PDF.pdf
[Tense] - Part-4 || Tense || 19-May : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/677829970783699300_PDF.pdf
[Tense] - Part-5 || Tense || 20-May : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/125650008297836130_PDF.pdf
[Tense] - Part-6 || Tense || 21-May : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/620282712844526700_PDF.pdf
[Tense] - Part-7 || Tense || 22-May : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/726525370441761200_PDF.pdf
[टेस्ट संबंधित सूचना] - टेस्ट संबंधित सूचना - 2025 : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/notes/25296272529627.ws
