[Current Affairs Test (18-May, 2025)] - 2nd/3rd Grade Current Affairs || 18-May, 2025 (Digital OMR Test) : https://apps-s3-jw-prod.utkarshapp.com/jw_v3/QhANd3YD/QhANd3YD.m3u8
[मनोविज्ञान, भूगोल और अर्थव्यवस्था] - 2nd Grade GK Target B-01 || मनोविज्ञान, भूगोल और अर्थव्यवस्था || 20-May (Digital OMR Test) : https://apps-s3-jw-prod.utkarshapp.com/jw_v3/PYa6v8Dn/videos/yLHbK95D-notrbHqj.mp4
[राजस्थान की  स्थिति  एवं विस्तार] - Part-7 || राजस्थान की स्थिति एवं विस्तार || 16-May : https://apps-s3-media.utkarshapp.com/file_library/videos/harvesting/2568536/utk-52/1747380561/index.m3u8
[राजस्थान के भौतिक प्रदेश] - Part-1 || भौतिक प्रदेश || 17-May : https://apps-s3-media.utkarshapp.com/file_library/videos/harvesting/2570300/utk-24/1747459724/index.m3u8
[राजस्थान के भौतिक प्रदेश] - Part-2 || भौतिक प्रदेश || 17-May : https://apps-s3-media.utkarshapp.com/file_library/videos/harvesting/2570301/utk-43/1747466911/index.m3u8
[राजस्थान के भौतिक प्रदेश] - Part-3 || भौतिक प्रदेश || 19-May : https://apps-s3-media.utkarshapp.com/file_library/videos/harvesting/2571751/utk-25/1747632696/index.m3u8
[राजस्थान के भौतिक प्रदेश] - Part-4 || भौतिक प्रदेश || 19-May : https://apps-s3-media.utkarshapp.com/file_library/videos/harvesting/2571680/utk-34/1747637213/index.m3u8
[राजस्थान के भौतिक प्रदेश] - Part-5 || भौतिक प्रदेश || 20-May : https://apps-s3-media.utkarshapp.com/file_library/videos/harvesting/2573716/utk-46/1747726325/index.m3u8
[राजस्थान के भौतिक प्रदेश] - Part-6 || भौतिक प्रदेश || 21-May : https://apps-s3-media.utkarshapp.com/file_library/videos/harvesting/2575452/utk-41/1747812406/index.m3u8
[राजस्थान के भौतिक प्रदेश] - Part-7 || भौतिक प्रदेश || 22-May : https://apps-s3-media.utkarshapp.com/file_library/videos/harvesting/2577143/utk-41/1747898775/index.m3u8
[Current Affairs Test (18-May, 2025)] - 2nd/3rd Grade Current Affairs || 18-May, 2025 : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/328770739826916700_PDF.pdf
[Exam Syllabus] - Exam Syllabus || 2nd Grade GK : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/360419799163160300_PDF.pdf
[Classroom Material PDF] - सेवा क्षेत्र, कृषि क्षेत्र : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/620012371434995200_PDF.pdf
[अर्थव्यवस्था का परिचय] - Part-1 || अर्थव्यवस्था का परिचय || 18-April : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/310693712563863740_PDF.pdf
[अर्थव्यवस्था का परिचय] - Part-2 || अर्थव्यवस्था का परिचय || 19-April : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/133786158089294610_PDF.pdf
[विदेशी व्यापार] - Part-1 || विदेशी व्यापार || 21-April : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/373863673070938400_PDF.pdf
[विदेशी व्यापार] - Part-2 || विदेशी व्यापार || 22-April : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/842142346891349100_PDF.pdf
[विदेशी व्यापार] - Part-3 || विदेशी व्यापार || 23-April : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/164545155990103260_PDF.pdf
[विदेशी व्यापार] - Part-4 || विदेशी व्यापार || 24-April : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/673748125944676200_PDF.pdf
[विदेशी व्यापार] - Part-5 || विदेशी व्यापार || 25-April : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/701754624453170600_PDF.pdf
[विदेशी व्यापार] - Part-6 || विदेशी व्यापार || 26-April : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/684876600967921200_PDF.pdf
[विदेशी व्यापार] - Part-7 || विदेशी व्यापार || 28-April : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/394173377670334660_PDF.pdf
[विदेशी व्यापार] - Part-8 || विदेशी व्यापार || 29-April : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/385238413960352200_PDF.pdf
[विदेशी व्यापार] - Part-9 || विदेशी व्यापार || 30-April : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/157617270894990050_PDF.pdf
[भारत के कृषि क्षेत्र] - Part-1 || कृषि क्षेत्र || 01-May : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/800814233495583100_PDF.pdf
[भारत के कृषि क्षेत्र] - Part-2 || कृषि क्षेत्र || 02-May : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/348981440438921000_PDF.pdf
[भारत के कृषि क्षेत्र] - Part-3 || कृषि क्षेत्र || 03-May : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/664289709414897400_PDF.pdf
[औद्योगिक क्षेत्र] - Part-1 || औद्योगिक क्षेत्र || 05-May : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/69440543072969976_PDF.pdf
[औद्योगिक क्षेत्र] - Part-2 || औद्योगिक क्षेत्र || 06-May : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/756551174814053400_PDF.pdf
[औद्योगिक क्षेत्र] - Part-3 || औद्योगिक क्षेत्र || 07-May : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/371195765977125060_PDF.pdf
[औद्योगिक क्षेत्र] - Part-4 || औद्योगिक क्षेत्र || 08-May : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/201409919083950880_PDF.pdf
[अधिगम ] - Part-1 || अधिगम || 17-April : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/723980249992994300_PDF.pdf
[अधिगम ] - Part-2 || अधिगम || 18-April : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/774081299851052500_PDF.pdf
